"Source:","/Users/max/Documents/KiCad/Projects/ESP_WeatherStation/ESP_WeatherStation.sch"
"Date:","2018 March 17, Saturday 00:23:12"
"Tool:","Eeschema 4.0.7"
"Generator:","/Applications/Kicad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","19"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","BOM","MPN","Manuf"
"","","C1","1u","device:C_Small","Capacitors_SMD:C_0603","","","",""
"","","C2","1u","device:C_Small","Capacitors_SMD:C_0603","","","",""
"","","C3","0.1u","device:C_Small","Capacitors_SMD:C_0603","","","",""
"","","C4","0.1u","device:C_Small","Capacitors_SMD:C_0603","","","",""
"","","C5","0.1u","device:C_Small","Capacitors_SMD:C_0603","","","",""
"","","D1","White LED","device:LED","LEDs:LED_0603","","","",""
"","","J1","Con1","ESP_WeatherStation-cache:Conn_02x04_Odd_Even","Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm_SMD","","","",""
"","","R1","10k","device:R","Resistors_SMD:R_0603","","","",""
"","","R2","4.7k","device:R","Resistors_SMD:R_0603","","","",""
"","","R3","82","device:R","Resistors_SMD:R_0603","","","",""
"","","R4","1k","device:R","Resistors_SMD:R_0603","","","",""
"","","R5","10k","device:R","Resistors_SMD:R_0603","","","",""
"","","R6","10k","device:R","Resistors_SMD:R_0603","","","",""
"","","R7","10k","device:R","Resistors_SMD:R_0603","","","",""
"","","U1","AZ1117-3.3","ESP_WeatherStation-cache:AZ1117-3.3","TO_SOT_Packages_SMD:SOT-223","","","",""
"","","U2","ESP-12F","ESP8266:ESP-12F","ESP8266:ESP-12E_SMD","","","",""
"","","U3","Si7021","MaxNil_components:Si7021","Housings_DFN_QFN:DFN-6-1EP_3x3mm_Pitch0.95mm","","","",""
"","","U4","BMP280","MaxNil_components:BMP280","MaxNil:BOSCH_BMP280","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001-18.pdf","Bosch BMP280","BMP280","Bosch"
"","","U5","DS1821C","maxim:DS1821C","TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","BOM","MPN","Manuf"
"1","2","C1, C2","1u","device:C_Small","Capacitors_SMD:C_0603","","","",""
"2","3","C3, C4, C5","0.1u","device:C_Small","Capacitors_SMD:C_0603","","","",""
"3","1","D1","White LED","device:LED","LEDs:LED_0603","","","",""
"4","1","J1","Con1","ESP_WeatherStation-cache:Conn_02x04_Odd_Even","Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm_SMD","","","",""
"5","4","R1, R5, R6, R7","10k","device:R","Resistors_SMD:R_0603","","","",""
"6","1","R2","4.7k","device:R","Resistors_SMD:R_0603","","","",""
"7","1","R3","82","device:R","Resistors_SMD:R_0603","","","",""
"8","1","R4","1k","device:R","Resistors_SMD:R_0603","","","",""
"9","1","U1","AZ1117-3.3","ESP_WeatherStation-cache:AZ1117-3.3","TO_SOT_Packages_SMD:SOT-223","","","",""
"10","1","U2","ESP-12F","ESP8266:ESP-12F","ESP8266:ESP-12E_SMD","","","",""
"11","1","U3","Si7021","MaxNil_components:Si7021","Housings_DFN_QFN:DFN-6-1EP_3x3mm_Pitch0.95mm","","","",""
"12","1","U4","BMP280","MaxNil_components:BMP280","MaxNil:BOSCH_BMP280","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001-18.pdf","Bosch BMP280","BMP280","Bosch"
"13","1","U5","DS1821C","maxim:DS1821C","TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval","","","",""
